"Respond","Call Final Disposition","Neighborhooods - Analysis Boundaries"
"5.216666666666667","Code 2 Transport","North Beach"
"5.416666666666667","Code 2 Transport","North Beach"
"3.9166666666666665","Code 2 Transport","North Beach"
"2.6666666666666665","Code 2 Transport","Tenderloin"
"1.65","Code 2 Transport","Tenderloin"
"2.95","Code 2 Transport","Tenderloin"
"1.3333333333333333","Code 2 Transport","Tenderloin"
"1.9833333333333334","Code 2 Transport","Tenderloin"
"1.6333333333333333","Code 2 Transport","Tenderloin"
"3.05","Code 2 Transport","Tenderloin"
"1.2","Code 2 Transport","Tenderloin"
"0.9","Code 2 Transport","Tenderloin"
"1.9833333333333334","Code 2 Transport","Tenderloin"
"5.333333333333333","Code 2 Transport","Tenderloin"
"3.3","Code 2 Transport","Tenderloin"
"4.566666666666666","Code 2 Transport","Russian Hill"
"2.316666666666667","Code 2 Transport","Tenderloin"
"2.1166666666666667","Code 2 Transport","Tenderloin"
"2.1333333333333333","Code 2 Transport","Tenderloin"
"2.2666666666666666","Code 2 Transport","Tenderloin"
"8.2","Code 2 Transport","Tenderloin"
"1.9166666666666667","Code 2 Transport","Tenderloin"
"2.2333333333333334","Code 2 Transport","Tenderloin"
"1.8833333333333333","Code 2 Transport","Tenderloin"
"6.4","Code 2 Transport","Tenderloin"
"4.033333333333333","Code 2 Transport","Tenderloin"
"","Code 2 Transport","Tenderloin"
"3.466666666666667","Code 2 Transport","Tenderloin"
"3.2333333333333334","Code 2 Transport","Tenderloin"
"2.183333333333333","Code 2 Transport","Tenderloin"
"17.116666666666667","Code 2 Transport","Tenderloin"
"18.316666666666666","Code 2 Transport","Tenderloin"
"1.45","Code 2 Transport","Tenderloin"
"1.35","Code 2 Transport","Nob Hill"
"1.9666666666666666","Code 2 Transport","Nob Hill"
"1.6166666666666667","Code 2 Transport","North Beach"
"1.3833333333333333","Fire","Nob Hill"
"1.0833333333333333","Fire","Nob Hill"
"2.8666666666666667","Fire","Tenderloin"
"2.933333333333333","Fire","Tenderloin"
"3.1666666666666665","Fire","Tenderloin"
"1.8","Code 2 Transport","Nob Hill"
"0.6166666666666667","Code 2 Transport","Tenderloin"
"0.6","Code 2 Transport","Tenderloin"
"3.4833333333333334","Code 2 Transport","Chinatown"
"1.7166666666666666","Code 2 Transport","Chinatown"
"1.5833333333333333","Code 2 Transport","Tenderloin"
"3.35","Code 2 Transport","Tenderloin"
"5.066666666666666","Fire","Tenderloin"
"3.15","Fire","Tenderloin"
"3.3666666666666667","Fire","Tenderloin"
"11.45","Patient Declined Transport","Nob Hill"
"2.7666666666666666","Patient Declined Transport","Nob Hill"
"1.9666666666666666","Patient Declined Transport","Nob Hill"
"2.5833333333333335","Fire","Tenderloin"
"2.783333333333333","Fire","Tenderloin"
"2.8666666666666667","Fire","Tenderloin"
"4.533333333333333","Patient Declined Transport","Nob Hill"
"","Code 2 Transport","Tenderloin"
"3.216666666666667","Code 2 Transport","Tenderloin"
"3.066666666666667","Code 2 Transport","Tenderloin"
"2.6666666666666665","Code 2 Transport","Chinatown"
"3.35","Code 2 Transport","Chinatown"
"3.0166666666666666","Code 2 Transport","Tenderloin"
"1.65","Code 2 Transport","Tenderloin"
"1.2","Code 2 Transport","Tenderloin"
"3.433333333333333","Fire","Russian Hill"
"0.6666666666666666","No Merit","Tenderloin"
"1.3","No Merit","Tenderloin"
"5.9","Code 2 Transport","Tenderloin"
"3.4833333333333334","Code 2 Transport","Nob Hill"
"2.1333333333333333","Code 2 Transport","Nob Hill"
"6.65","Code 2 Transport","Chinatown"
"11.1","Code 2 Transport","Chinatown"
"1.7333333333333334","Fire","Nob Hill"
"1.3333333333333333","Fire","Nob Hill"
"1.9333333333333333","Code 2 Transport","Tenderloin"
"1.0666666666666667","Code 2 Transport","Tenderloin"
"2.6333333333333333","Code 2 Transport","Tenderloin"
"1.9666666666666666","Code 2 Transport","Tenderloin"
"3.433333333333333","Code 2 Transport","Tenderloin"
"0.65","Code 2 Transport","Tenderloin"
"3.6666666666666665","Gone on Arrival","Tenderloin"
"4.683333333333334","Gone on Arrival","Tenderloin"
"1.2166666666666666","Code 2 Transport","Tenderloin"
"1.15","Code 2 Transport","Tenderloin"
"6.566666666666666","Other","North Beach"
"5.75","No Merit","Chinatown"
"","No Merit","Chinatown"
"11.55","Code 2 Transport","North Beach"
"0","Code 2 Transport","Tenderloin"
"0.7833333333333333","Code 2 Transport","Tenderloin"
"","Cancelled","Tenderloin"
"4.216666666666667","Cancelled","Tenderloin"
"2.1","Cancelled","Tenderloin"
"8.5","Code 2 Transport","Tenderloin"
"","Code 2 Transport","Tenderloin"
"4.966666666666667","Code 2 Transport","Tenderloin"
"4.483333333333333","Code 2 Transport","Tenderloin"
"3.6166666666666667","Code 2 Transport","Tenderloin"
"3.2666666666666666","Fire","Tenderloin"
"2.683333333333333","Fire","Tenderloin"
"3.566666666666667","Fire","Tenderloin"
"2.433333333333333","Code 2 Transport","Tenderloin"
"2.4166666666666665","Code 2 Transport","Tenderloin"
"1.8666666666666667","Code 2 Transport","Tenderloin"
"0.8833333333333333","Code 2 Transport","Tenderloin"
"4.516666666666667","Code 2 Transport","Nob Hill"
"3.2333333333333334","Code 2 Transport","Nob Hill"
"2.183333333333333","Code 2 Transport","Nob Hill"
"3.2666666666666666","Code 2 Transport","Tenderloin"
"1.2","Code 2 Transport","Tenderloin"
"0.6333333333333333","Code 2 Transport","Tenderloin"
"4.716666666666667","Code 2 Transport","Tenderloin"
"5.45","No Merit","Tenderloin"
"4.916666666666667","No Merit","Tenderloin"
"4.016666666666667","No Merit","Tenderloin"
"0.9666666666666667","Fire","Tenderloin"
"0.95","Fire","Tenderloin"
"2.3666666666666667","Code 2 Transport","Tenderloin"
"1.3666666666666667","Code 2 Transport","Tenderloin"
"1.2166666666666666","Code 2 Transport","Tenderloin"
"0","Code 2 Transport","Tenderloin"
"13.983333333333333","Code 2 Transport","Russian Hill"
"12.45","Code 2 Transport","Russian Hill"
"12.283333333333333","Code 2 Transport","Russian Hill"
"8.95","Code 2 Transport","Tenderloin"
"5.383333333333334","Code 2 Transport","Tenderloin"
"27.033333333333335","Code 2 Transport","Tenderloin"
"8.35","Code 2 Transport","Tenderloin"
"1.65","Cancelled","Tenderloin"
"1.9166666666666667","Cancelled","Tenderloin"
"3.4","Fire","North Beach"
"3.1","Fire","North Beach"
"2.5","Fire","North Beach"
"4.05","Code 2 Transport","Tenderloin"
"3.316666666666667","Code 2 Transport","Russian Hill"
"2.933333333333333","Code 2 Transport","Russian Hill"
"2.95","Code 2 Transport","Russian Hill"
"3.7666666666666666","Code 2 Transport","Tenderloin"
"2.55","Code 2 Transport","Tenderloin"
"2.6","Against Medical Advice","Russian Hill"
"1.45","Against Medical Advice","Russian Hill"
"3.15","Code 2 Transport","Russian Hill"
"","Code 2 Transport","Russian Hill"
"6.116666666666666","SFPD","Tenderloin"
"4.933333333333334","No Merit","Nob Hill"
"6.383333333333334","No Merit","Nob Hill"
"1.6166666666666667","Code 3 Transport","Nob Hill"
"1.4333333333333333","Code 3 Transport","Nob Hill"
"20.466666666666665","Code 3 Transport","Nob Hill"
"0.65","Code 2 Transport","North Beach"
"3.35","Code 2 Transport","North Beach"
"1.55","Code 2 Transport","North Beach"
"2.8333333333333335","Code 2 Transport","North Beach"
"2.0833333333333335","Code 2 Transport","Tenderloin"
"","Code 2 Transport","Tenderloin"
"23.516666666666666","Code 2 Transport","Tenderloin"
"2.5","Code 2 Transport","Tenderloin"
"2.85","Fire","Tenderloin"
"2.95","Fire","Tenderloin"
"2.8333333333333335","Fire","Tenderloin"
"4.833333333333333","No Merit","Tenderloin"
"5.05","Cancelled","Nob Hill"
"6.55","Cancelled","Nob Hill"
"3.3","Fire","Tenderloin"
"3.8666666666666667","Fire","Tenderloin"
"3.65","Fire","Tenderloin"
"1.7333333333333334","Code 2 Transport","North Beach"
"1.9166666666666667","Code 2 Transport","Tenderloin"
"1.1","Code 2 Transport","Tenderloin"
"9.516666666666667","Code 2 Transport","Tenderloin"
"5.3","Code 2 Transport","Tenderloin"
"1.0166666666666666","Fire","Tenderloin"
"4.866666666666666","SFPD","Chinatown"
"2.3666666666666667","SFPD","Chinatown"
"1.6666666666666667","SFPD","Chinatown"
"3.55","Code 2 Transport","Tenderloin"
"2.9833333333333334","Code 2 Transport","Tenderloin"
"3.183333333333333","Fire","Russian Hill"
"3.9166666666666665","No Merit","Tenderloin"
"4.816666666666666","No Merit","Tenderloin"
"5.033333333333333","No Merit","Tenderloin"
"5.083333333333333","No Merit","Tenderloin"
"8.05","Code 2 Transport","Tenderloin"
"24.066666666666666","Code 2 Transport","Tenderloin"
"4","Code 2 Transport","Tenderloin"
"4.033333333333333","Code 2 Transport","Tenderloin"
"","No Merit","North Beach"
"","No Merit","North Beach"
"7.033333333333333","No Merit","North Beach"
"5","Code 2 Transport","Nob Hill"
"4.8","Code 2 Transport","Russian Hill"
"5.183333333333334","Code 2 Transport","Russian Hill"
"5.916666666666667","Cancelled","North Beach"
"3.716666666666667","Code 2 Transport","Tenderloin"
