Call Number,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Arrival_DtTm,Call Type Group,Unit Type,Neighborhooods
180011601,18000227,Medical Incident,1/1/18,1/1/18,1/1/18 10:13,1/1/18 10:13,1/1/18 10:13,1/1/18 10:13,1/1/18 10:13,0:00,Non Life-threatening,ENGINE,Bayview Hunters Point
180020975,18000613,Medical Incident,1/2/18,1/2/18,1/2/18 9:18,1/2/18 9:18,1/2/18 9:18,1/2/18 9:18,1/2/18 9:18,0:00,Potentially Life-Threatening,ENGINE,Bayview Hunters Point
180022113,18000712,Outside Fire,1/2/18,1/2/18,1/2/18 13:39,1/2/18 13:39,1/2/18 13:39,1/2/18 13:39,1/2/18 13:39,0:00,Fire,ENGINE,Bayview Hunters Point
180030374,18000974,Medical Incident,1/3/18,1/2/18,1/3/18 4:22,1/3/18 4:22,1/3/18 4:22,1/3/18 4:22,1/3/18 4:22,0:00,Potentially Life-Threatening,MEDIC,Bayview Hunters Point
180031204,18001066,Other,1/3/18,1/3/18,1/3/18 9:56,1/3/18 9:56,1/3/18 9:56,1/3/18 9:56,1/3/18 9:56,0:00,Alarm,CHIEF,Bayview Hunters Point
180063686,18002726,Other,1/6/18,1/6/18,1/6/18 22:05,1/6/18 22:05,1/6/18 22:05,1/6/18 22:05,1/6/18 22:05,0:00,Alarm,ENGINE,Bayview Hunters Point
180072833,18003098,Traffic Collision,1/7/18,1/7/18,1/7/18 18:32,1/7/18 18:32,1/7/18 18:32,1/7/18 18:32,1/7/18 18:32,0:00,Potentially Life-Threatening,ENGINE,Bayview Hunters Point
180112750,18004828,Medical Incident,1/11/18,1/11/18,1/11/18 15:46,1/11/18 15:46,1/11/18 15:46,1/11/18 15:46,1/11/18 15:46,0:00,Potentially Life-Threatening,ENGINE,Bayview Hunters Point
180150979,18006380,Medical Incident,1/15/18,1/15/18,1/15/18 9:47,1/15/18 9:47,1/15/18 9:47,1/15/18 9:47,1/15/18 9:47,0:00,Potentially Life-Threatening,ENGINE,Bayview Hunters Point
180191151,18008018,Outside Fire,1/19/18,1/19/18,1/19/18 10:26,1/19/18 10:26,1/19/18 10:26,1/19/18 10:26,1/19/18 10:26,0:00,Fire,ENGINE,Bayview Hunters Point
180201704,18008507,Medical Incident,1/20/18,1/20/18,1/20/18 12:54,1/20/18 12:54,1/20/18 12:54,1/20/18 12:54,1/20/18 12:54,0:00,Non Life-threatening,MEDIC,Bayview Hunters Point
180220118,18009129,Medical Incident,1/22/18,1/21/18,1/22/18 1:22,1/22/18 1:22,1/22/18 1:22,1/22/18 1:22,1/22/18 1:22,0:00,Non Life-threatening,ENGINE,Bayview Hunters Point
180223606,18009484,Other,1/22/18,1/22/18,1/22/18 20:42,1/22/18 20:42,1/22/18 20:42,1/22/18 20:42,1/22/18 20:42,0:00,Alarm,SUPPORT,Bayview Hunters Point
180274104,18011652,Medical Incident,1/27/18,1/27/18,1/27/18 23:31,1/27/18 23:31,1/27/18 23:31,1/27/18 23:31,1/27/18 23:31,0:00,Non Life-threatening,MEDIC,Bayview Hunters Point
180282162,18011889,Water Rescue,1/28/18,1/28/18,1/28/18 15:25,1/28/18 15:25,1/28/18 15:25,1/28/18 15:25,1/28/18 15:25,0:00,Fire,SUPPORT,Bayview Hunters Point
180282162,18011889,Water Rescue,1/28/18,1/28/18,1/28/18 15:25,1/28/18 15:25,1/28/18 15:25,1/28/18 15:25,1/28/18 15:25,0:00,Fire,ENGINE,Bayview Hunters Point
180322325,18013593,Medical Incident,2/1/18,2/1/18,2/1/18 14:32,2/1/18 14:32,2/1/18 14:32,2/1/18 14:32,2/1/18 14:32,0:00,Potentially Life-Threatening,ENGINE,Bayview Hunters Point
180371902,18015768,Outside Fire,2/6/18,2/6/18,2/6/18 12:40,2/6/18 12:40,2/6/18 12:40,2/6/18 12:40,2/6/18 12:40,0:00,Fire,ENGINE,Bayview Hunters Point
180443546,18018979,Traffic Collision,2/13/18,2/13/18,2/13/18 20:11,2/13/18 20:11,2/13/18 20:11,2/13/18 20:11,2/13/18 20:11,0:00,Potentially Life-Threatening,CHIEF,Bayview Hunters Point
180450346,18019102,Traffic Collision,2/14/18,2/13/18,2/14/18 4:46,2/14/18 4:46,2/14/18 4:46,2/14/18 4:46,2/14/18 4:46,0:00,Non Life-threatening,MEDIC,Bayview Hunters Point
180460221,18019520,Other,2/15/18,2/14/18,2/15/18 2:46,2/15/18 2:46,2/15/18 2:46,2/15/18 2:46,2/15/18 2:46,0:00,Alarm,ENGINE,Bayview Hunters Point
180541667,18023045,Medical Incident,2/23/18,2/23/18,2/23/18 12:31,2/23/18 12:31,2/23/18 12:31,2/23/18 12:31,2/23/18 12:31,0:00,Non Life-threatening,MEDIC,Bayview Hunters Point
180600714,18025489,Medical Incident,3/1/18,2/28/18,3/1/18 7:47,3/1/18 7:47,3/1/18 7:47,3/1/18 7:47,3/1/18 7:47,0:00,Non Life-threatening,TRUCK,Bayview Hunters Point
180612887,18026157,Medical Incident,3/2/18,3/2/18,3/2/18 17:46,3/2/18 17:46,3/2/18 17:46,3/2/18 17:46,3/2/18 17:46,0:00,Non Life-threatening,MEDIC,Bayview Hunters Point
180640825,18027193,Medical Incident,3/5/18,3/5/18,3/5/18 8:41,3/5/18 8:41,3/5/18 8:41,3/5/18 8:41,3/5/18 8:41,0:00,Potentially Life-Threatening,RESCUE CAPTAIN,Bayview Hunters Point
180640825,18027193,Medical Incident,3/5/18,3/5/18,3/5/18 8:41,3/5/18 8:41,3/5/18 8:41,3/5/18 8:41,3/5/18 8:41,0:00,Potentially Life-Threatening,MEDIC,Bayview Hunters Point
180641723,18027283,Medical Incident,3/5/18,3/5/18,3/5/18 12:44,3/5/18 12:44,3/5/18 12:44,3/5/18 12:44,3/5/18 12:44,0:00,Non Life-threatening,MEDIC,Bayview Hunters Point
180724037,18030915,Medical Incident,3/13/18,3/13/18,3/13/18 23:11,3/13/18 23:11,3/13/18 23:11,3/13/18 23:11,3/13/18 23:11,0:00,Potentially Life-Threatening,ENGINE,Bayview Hunters Point
180730482,18030988,Medical Incident,3/14/18,3/13/18,3/14/18 6:34,3/14/18 6:34,3/14/18 6:34,3/14/18 6:34,3/14/18 6:34,0:00,Potentially Life-Threatening,ENGINE,Bayview Hunters Point
180803287,18034194,Traffic Collision,3/21/18,3/21/18,3/21/18 18:47,3/21/18 18:47,3/21/18 18:47,3/21/18 18:47,3/21/18 18:47,0:00,Potentially Life-Threatening,MEDIC,Bayview Hunters Point
180803336,18034202,Medical Incident,3/21/18,3/21/18,3/21/18 19:02,3/21/18 19:02,3/21/18 19:02,3/21/18 19:02,3/21/18 19:02,0:00,Potentially Life-Threatening,ENGINE,Bayview Hunters Point
180813159,18034614,Medical Incident,3/22/18,3/22/18,3/22/18 18:13,3/22/18 18:13,3/22/18 18:13,3/22/18 18:13,3/22/18 18:13,0:00,Non Life-threatening,ENGINE,Bayview Hunters Point
180822920,18035017,Other,3/23/18,3/23/18,3/23/18 16:55,3/23/18 16:55,3/23/18 16:55,3/23/18 16:55,3/23/18 16:55,0:00,Alarm,TRUCK,Bayview Hunters Point
180850024,18035916,Medical Incident,3/26/18,3/25/18,3/26/18 0:12,3/26/18 0:12,3/26/18 0:12,3/26/18 0:12,3/26/18 0:12,0:00,Non Life-threatening,ENGINE,Bayview Hunters Point
180883230,18037594,Medical Incident,3/29/18,3/29/18,3/29/18 18:28,3/29/18 18:28,3/29/18 18:28,3/29/18 18:28,3/29/18 18:28,0:00,Non Life-threatening,MEDIC,Bayview Hunters Point
180901068,18038284,Medical Incident,3/31/18,3/31/18,3/31/18 9:28,3/31/18 9:28,3/31/18 9:28,3/31/18 9:28,3/31/18 9:28,0:00,Potentially Life-Threatening,ENGINE,Bayview Hunters Point
180911715,18038807,Medical Incident,4/1/18,4/1/18,4/1/18 13:45,4/1/18 13:45,4/1/18 13:45,4/1/18 13:45,4/1/18 13:45,0:00,Potentially Life-Threatening,CHIEF,Bayview Hunters Point
180912984,18038950,Medical Incident,4/1/18,4/1/18,4/1/18 20:47,4/1/18 20:47,4/1/18 20:47,4/1/18 20:47,4/1/18 20:47,0:00,Non Life-threatening,ENGINE,Bayview Hunters Point
180913261,18038999,Citizen Assist / Service Call,4/1/18,4/1/18,4/1/18 22:38,4/1/18 22:38,4/1/18 22:38,4/1/18 22:38,4/1/18 22:38,0:00,Alarm,ENGINE,Bayview Hunters Point
180931332,18039566,Other,4/3/18,4/3/18,4/3/18 10:51,4/3/18 10:51,4/3/18 10:51,4/3/18 10:51,4/3/18 10:51,0:00,Alarm,ENGINE,Bayview Hunters Point
180972313,18041380,Medical Incident,4/7/18,4/7/18,4/7/18 15:22,4/7/18 15:22,4/7/18 15:22,4/7/18 15:22,4/7/18 15:22,0:00,Non Life-threatening,ENGINE,Bayview Hunters Point
181010166,18042809,Medical Incident,4/11/18,4/10/18,4/11/18 1:55,4/11/18 1:55,4/11/18 1:55,4/11/18 1:55,4/11/18 1:55,0:00,Non Life-threatening,ENGINE,Bayview Hunters Point
