Call Number,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Arrival_DtTm,Call Type Group,Unit Type,Neighborhooods
180073197,18003141,Medical Incident,1/7/18,1/7/18,1/7/18 20:22,1/7/18 20:22,1/7/18 20:22,1/7/18 20:22,1/7/18 20:22,0:00,Non Life-threatening,MEDIC,Bernal Heights
180281259,18011811,Medical Incident,1/28/18,1/28/18,1/28/18 10:48,1/28/18 10:48,1/28/18 10:48,1/28/18 10:48,1/28/18 10:48,0:00,Potentially Life-Threatening,SUPPORT,Bernal Heights
180373373,18015950,Medical Incident,2/6/18,2/6/18,2/6/18 18:33,2/6/18 18:33,2/6/18 18:33,2/6/18 18:33,2/6/18 18:33,0:00,Potentially Life-Threatening,MEDIC,Bernal Heights
180391537,18016719,Outside Fire,2/8/18,2/8/18,2/8/18 11:29,2/8/18 11:29,2/8/18 11:29,2/8/18 11:29,2/8/18 11:29,0:00,Fire,ENGINE,Bernal Heights
180412083,18017674,Other,2/10/18,2/10/18,2/10/18 14:31,2/10/18 14:31,2/10/18 14:31,2/10/18 14:31,2/10/18 14:31,0:00,Alarm,ENGINE,Bernal Heights
180551311,18023447,Traffic Collision,2/24/18,2/24/18,2/24/18 11:22,2/24/18 11:22,2/24/18 11:22,2/24/18 11:22,2/24/18 11:22,0:00,Potentially Life-Threatening,RESCUE SQUAD,Bernal Heights
180601652,18025597,Traffic Collision,3/1/18,3/1/18,3/1/18 11:53,3/1/18 11:53,3/1/18 11:53,3/1/18 11:53,3/1/18 11:53,0:00,Non Life-threatening,RESCUE SQUAD,Bernal Heights
180763366,18032582,Other,3/17/18,3/17/18,3/17/18 20:38,3/17/18 20:38,3/17/18 20:38,3/17/18 20:38,3/17/18 20:38,0:00,Alarm,MEDIC,Bernal Heights
180780143,18033053,Medical Incident,3/19/18,3/18/18,3/19/18 1:36,3/19/18 1:36,3/19/18 1:36,3/19/18 1:36,3/19/18 1:36,0:00,Non Life-threatening,MEDIC,Bernal Heights
180813713,18034675,Medical Incident,3/22/18,3/22/18,3/22/18 21:03,3/22/18 21:03,3/22/18 21:03,3/22/18 21:03,3/22/18 21:03,0:00,Potentially Life-Threatening,MEDIC,Bernal Heights
180880927,18037349,Medical Incident,3/29/18,3/29/18,3/29/18 9:17,3/29/18 9:17,3/29/18 9:17,3/29/18 9:17,3/29/18 9:17,0:00,Non Life-threatening,ENGINE,Bernal Heights
181012783,18043056,Other,4/11/18,4/11/18,4/11/18 16:36,4/11/18 16:36,4/11/18 16:36,4/11/18 16:36,4/11/18 16:36,0:00,Alarm,MEDIC,Bernal Heights
181111778,18047239,Medical Incident,4/21/18,4/21/18,4/21/18 13:11,4/21/18 13:11,4/21/18 13:11,4/21/18 13:11,4/21/18 13:11,0:00,Non Life-threatening,MEDIC,Bernal Heights
181331080,18056422,Medical Incident,5/13/18,5/13/18,5/13/18 10:07,5/13/18 10:07,5/13/18 10:07,5/13/18 10:07,5/13/18 10:07,0:00,Non Life-threatening,ENGINE,Bernal Heights
181343803,18057044,HazMat,5/14/18,5/14/18,5/14/18 20:39,5/14/18 20:39,5/14/18 20:39,5/14/18 20:39,5/14/18 20:39,0:00,Alarm,CHIEF,Bernal Heights
181392343,18058928,Medical Incident,5/19/18,5/19/18,5/19/18 16:02,5/19/18 16:02,5/19/18 16:02,5/19/18 16:02,5/19/18 16:02,0:00,Non Life-threatening,MEDIC,Bernal Heights
181480937,18062587,Medical Incident,5/28/18,5/28/18,5/28/18 9:29,5/28/18 9:29,5/28/18 9:29,5/28/18 9:29,5/28/18 9:29,0:00,Non Life-threatening,CHIEF,Bernal Heights
