Call Number,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Arrival_DtTm,Call Type Group,Unit Type,Neighborhooods
180034284,18001384,Medical Incident,1/3/18,1/3/18,1/3/18 23:52,1/3/18 23:52,1/3/18 23:52,1/3/18 23:52,1/3/18 23:52,0:00,Non Life-threatening,MEDIC,Castro/Upper Market
180041898,18001556,Other,1/4/18,1/4/18,1/4/18 12:27,1/4/18 12:27,1/4/18 12:27,1/4/18 12:27,1/4/18 12:27,0:00,Alarm,ENGINE,Castro/Upper Market
180082392,18003496,Medical Incident,1/8/18,1/8/18,1/8/18 15:42,1/8/18 15:42,1/8/18 15:42,1/8/18 15:42,1/8/18 15:42,0:00,Non Life-threatening,MEDIC,Castro/Upper Market
180122239,18005226,Traffic Collision,1/12/18,1/12/18,1/12/18 14:44,1/12/18 14:44,1/12/18 14:44,1/12/18 14:44,1/12/18 14:44,0:00,Potentially Life-Threatening,MEDIC,Castro/Upper Market
180130243,18005459,Other,1/13/18,1/12/18,1/13/18 1:40,1/13/18 1:40,1/13/18 1:40,1/13/18 1:40,1/13/18 1:40,0:00,Alarm,TRUCK,Castro/Upper Market
180130697,18005536,Other,1/13/18,1/12/18,1/13/18 7:21,1/13/18 7:21,1/13/18 7:21,1/13/18 7:21,1/13/18 7:21,0:00,Alarm,ENGINE,Castro/Upper Market
180180706,18007586,Medical Incident,1/18/18,1/18/18,1/18/18 8:08,1/18/18 8:08,1/18/18 8:08,1/18/18 8:08,1/18/18 8:08,0:00,Non Life-threatening,ENGINE,Castro/Upper Market
180271568,18011399,Medical Incident,1/27/18,1/27/18,1/27/18 12:09,1/27/18 12:09,1/27/18 12:09,1/27/18 12:09,1/27/18 12:09,0:00,Non Life-threatening,ENGINE,Castro/Upper Market
180281716,18011850,Medical Incident,1/28/18,1/28/18,1/28/18 13:20,1/28/18 13:20,1/28/18 13:20,1/28/18 13:20,1/28/18 13:20,0:00,Potentially Life-Threatening,PRIVATE,Castro/Upper Market
180342079,18014492,Medical Incident,2/3/18,2/3/18,2/3/18 14:12,2/3/18 14:12,2/3/18 14:12,2/3/18 14:12,2/3/18 14:12,0:00,Non Life-threatening,ENGINE,Castro/Upper Market
180352218,18014987,Medical Incident,2/4/18,2/4/18,2/4/18 15:04,2/4/18 15:04,2/4/18 15:04,2/4/18 15:04,2/4/18 15:04,0:00,Non Life-threatening,PRIVATE,Castro/Upper Market
180450457,18019121,Medical Incident,2/14/18,2/13/18,2/14/18 6:23,2/14/18 6:23,2/14/18 6:23,2/14/18 6:23,2/14/18 6:23,0:00,Potentially Life-Threatening,MEDIC,Castro/Upper Market
180461876,18019690,Medical Incident,2/15/18,2/15/18,2/15/18 12:34,2/15/18 12:34,2/15/18 12:34,2/15/18 12:34,2/15/18 12:34,0:00,Non Life-threatening,PRIVATE,Castro/Upper Market
180611148,18025987,Medical Incident,3/2/18,3/2/18,3/2/18 10:02,3/2/18 10:02,3/2/18 10:02,3/2/18 10:02,3/2/18 10:02,0:00,Non Life-threatening,MEDIC,Castro/Upper Market
180631997,18026919,Other,3/4/18,3/4/18,3/4/18 14:30,3/4/18 14:30,3/4/18 14:30,3/4/18 14:30,3/4/18 14:30,0:00,Alarm,ENGINE,Castro/Upper Market
180632378,18026956,Medical Incident,3/4/18,3/4/18,3/4/18 16:26,3/4/18 16:26,3/4/18 16:26,3/4/18 16:26,3/4/18 16:26,0:00,Potentially Life-Threatening,MEDIC,Castro/Upper Market
180674077,18028830,Medical Incident,3/8/18,3/8/18,3/8/18 21:29,3/8/18 21:29,3/8/18 21:29,3/8/18 21:29,3/8/18 21:29,0:00,Non Life-threatening,PRIVATE,Castro/Upper Market
180682566,18029117,Alarms,3/9/18,3/9/18,3/9/18 15:50,3/9/18 15:50,3/9/18 15:50,3/9/18 15:50,3/9/18 15:50,0:00,Alarm,TRUCK,Castro/Upper Market
180683726,18029236,Medical Incident,3/9/18,3/9/18,3/9/18 21:10,3/9/18 21:10,3/9/18 21:10,3/9/18 21:10,3/9/18 21:10,0:00,Non Life-threatening,MEDIC,Castro/Upper Market
180733558,18031261,Medical Incident,3/14/18,3/14/18,3/14/18 19:35,3/14/18 19:35,3/14/18 19:35,3/14/18 19:35,3/14/18 19:35,0:00,Potentially Life-Threatening,MEDIC,Castro/Upper Market
180802627,18034132,Medical Incident,3/21/18,3/21/18,3/21/18 15:47,3/21/18 15:47,3/21/18 15:47,3/21/18 15:47,3/21/18 15:47,0:00,Non Life-threatening,MEDIC,Castro/Upper Market
180840489,18035622,Traffic Collision,3/25/18,3/24/18,3/25/18 4:41,3/25/18 4:41,3/25/18 4:41,3/25/18 4:41,3/25/18 4:41,0:00,Non Life-threatening,MEDIC,Castro/Upper Market
180883676,18037646,Medical Incident,3/29/18,3/29/18,3/29/18 20:31,3/29/18 20:31,3/29/18 20:31,3/29/18 20:31,3/29/18 20:31,0:00,Potentially Life-Threatening,MEDIC,Castro/Upper Market
180901190,18038296,Medical Incident,3/31/18,3/31/18,3/31/18 10:05,3/31/18 10:05,3/31/18 10:05,3/31/18 10:05,3/31/18 10:05,0:00,Non Life-threatening,ENGINE,Castro/Upper Market
180952541,18040459,Other,4/5/18,4/5/18,4/5/18 15:30,4/5/18 15:30,4/5/18 15:30,4/5/18 15:30,4/5/18 15:30,0:00,Alarm,INVESTIGATION,Castro/Upper Market
180952815,18040484,Medical Incident,4/5/18,4/5/18,4/5/18 16:41,4/5/18 16:41,4/5/18 16:41,4/5/18 16:41,4/5/18 16:41,0:00,Non Life-threatening,PRIVATE,Castro/Upper Market
181000804,18042486,Medical Incident,4/10/18,4/10/18,4/10/18 8:35,4/10/18 8:35,4/10/18 8:35,4/10/18 8:35,4/10/18 8:35,0:00,Non Life-threatening,MEDIC,Castro/Upper Market
181020084,18043223,Medical Incident,4/12/18,4/11/18,4/12/18 1:01,4/12/18 1:01,4/12/18 1:01,4/12/18 1:01,4/12/18 1:01,0:00,Non Life-threatening,MEDIC,Castro/Upper Market
181120109,18047497,Traffic Collision,4/22/18,4/21/18,4/22/18 0:40,4/22/18 0:40,4/22/18 0:40,4/22/18 0:40,4/22/18 0:40,0:00,Non Life-threatening,MEDIC,Castro/Upper Market
181140314,18048407,Medical Incident,4/24/18,4/23/18,4/24/18 4:12,4/24/18 4:12,4/24/18 4:12,4/24/18 4:12,4/24/18 4:12,0:00,Non Life-threatening,ENGINE,Castro/Upper Market
181142060,18048558,Vehicle Fire,4/24/18,4/24/18,4/24/18 13:24,4/24/18 13:24,4/24/18 13:24,4/24/18 13:24,4/24/18 13:24,0:00,Fire,ENGINE,Castro/Upper Market
181160688,18049246,Traffic Collision,4/26/18,4/26/18,4/26/18 8:07,4/26/18 8:07,4/26/18 8:07,4/26/18 8:07,4/26/18 8:07,0:00,Non Life-threatening,ENGINE,Castro/Upper Market
181223723,18051931,Medical Incident,5/2/18,5/2/18,5/2/18 18:24,5/2/18 18:24,5/2/18 18:24,5/2/18 18:24,5/2/18 18:24,0:00,Non Life-threatening,ENGINE,Castro/Upper Market
181270669,18053823,Medical Incident,5/7/18,5/6/18,5/7/18 7:39,5/7/18 7:39,5/7/18 7:39,5/7/18 7:39,5/7/18 7:39,0:00,Non Life-threatening,PRIVATE,Castro/Upper Market
181321075,18055997,Other,5/12/18,5/12/18,5/12/18 9:21,5/12/18 9:21,5/12/18 9:21,5/12/18 9:21,5/12/18 9:21,0:00,Alarm,TRUCK,Castro/Upper Market
