Call Number,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Arrival_DtTm,Call Type Group,Unit Type,Neighborhooods
180113380,18004890,Medical Incident,1/11/18,1/11/18,1/11/18 18:20,1/11/18 18:20,1/11/18 18:20,1/11/18 18:20,1/11/18 18:20,0:00,Potentially Life-Threatening,ENGINE,Chinatown
180203650,18008711,Medical Incident,1/20/18,1/20/18,1/20/18 22:46,1/20/18 22:46,1/20/18 22:46,1/20/18 22:46,1/20/18 22:46,0:00,Potentially Life-Threatening,ENGINE,Chinatown
180210810,18008842,Medical Incident,1/21/18,1/21/18,1/21/18 8:52,1/21/18 8:52,1/21/18 8:52,1/21/18 8:52,1/21/18 8:52,0:00,Non Life-threatening,ENGINE,Chinatown
180381603,18016245,Vehicle Fire,2/7/18,2/7/18,2/7/18 11:43,2/7/18 11:43,2/7/18 11:43,2/7/18 11:43,2/7/18 11:43,0:00,Fire,TRUCK,Chinatown
180381603,18016245,Vehicle Fire,2/7/18,2/7/18,2/7/18 11:43,2/7/18 11:43,2/7/18 11:43,2/7/18 11:43,2/7/18 11:43,0:00,Fire,ENGINE,Chinatown
180381603,18016245,Vehicle Fire,2/7/18,2/7/18,2/7/18 11:43,2/7/18 11:43,2/7/18 11:43,2/7/18 11:43,2/7/18 11:43,0:00,Fire,CHIEF,Chinatown
180402013,18017240,Medical Incident,2/9/18,2/9/18,2/9/18 13:46,2/9/18 13:46,2/9/18 13:46,2/9/18 13:46,2/9/18 13:46,0:00,Non Life-threatening,ENGINE,Chinatown
180462530,18019739,Medical Incident,2/15/18,2/15/18,2/15/18 15:06,2/15/18 15:06,2/15/18 15:06,2/15/18 15:06,2/15/18 15:06,0:00,Potentially Life-Threatening,ENGINE,Chinatown
180553123,18023648,Medical Incident,2/24/18,2/24/18,2/24/18 20:25,2/24/18 20:25,2/24/18 20:25,2/24/18 20:25,2/24/18 20:25,0:00,Non Life-threatening,MEDIC,Chinatown
180631033,18026820,Medical Incident,3/4/18,3/4/18,3/4/18 9:52,3/4/18 9:52,3/4/18 9:52,3/4/18 9:52,3/4/18 9:52,0:00,Non Life-threatening,ENGINE,Chinatown
180651218,18027669,Medical Incident,3/6/18,3/6/18,3/6/18 10:12,3/6/18 10:12,3/6/18 10:12,3/6/18 10:12,3/6/18 10:12,0:00,Non Life-threatening,CHIEF,Chinatown
180750416,18031813,Medical Incident,3/16/18,3/15/18,3/16/18 5:02,3/16/18 5:02,3/16/18 5:02,3/16/18 5:02,3/16/18 5:02,0:00,Potentially Life-Threatening,CHIEF,Chinatown
180783206,18033326,Other,3/19/18,3/19/18,3/19/18 17:47,3/19/18 17:47,3/19/18 17:47,3/19/18 17:47,3/19/18 17:47,0:00,Alarm,ENGINE,Chinatown
180824277,18035160,Medical Incident,3/23/18,3/23/18,3/23/18 23:20,3/23/18 23:20,3/23/18 23:20,3/23/18 23:20,3/23/18 23:20,0:00,Potentially Life-Threatening,ENGINE,Chinatown
180871410,18036950,Medical Incident,3/28/18,3/28/18,3/28/18 10:52,3/28/18 10:52,3/28/18 10:52,3/28/18 10:52,3/28/18 10:52,0:00,Potentially Life-Threatening,ENGINE,Chinatown
180872674,18037068,Medical Incident,3/28/18,3/28/18,3/28/18 15:47,3/28/18 15:47,3/28/18 15:47,3/28/18 15:47,3/28/18 15:47,0:00,Potentially Life-Threatening,ENGINE,Chinatown
180973203,18041460,Medical Incident,4/7/18,4/7/18,4/7/18 19:03,4/7/18 19:03,4/7/18 19:03,4/7/18 19:03,4/7/18 19:03,0:00,Non Life-threatening,CHIEF,Chinatown
181011335,18042923,Medical Incident,4/11/18,4/11/18,4/11/18 10:37,4/11/18 10:37,4/11/18 10:37,4/11/18 10:37,4/11/18 10:37,0:00,Potentially Life-Threatening,ENGINE,Chinatown
181173178,18049848,Medical Incident,4/27/18,4/27/18,4/27/18 18:25,4/27/18 18:25,4/27/18 18:25,4/27/18 18:25,4/27/18 18:25,0:00,Potentially Life-Threatening,ENGINE,Chinatown
181532403,18064883,Medical Incident,6/2/18,6/2/18,6/2/18 15:27,6/2/18 15:27,6/2/18 15:27,6/2/18 15:27,6/2/18 15:27,0:00,Non Life-threatening,CHIEF,Chinatown
181563314,18066234,Medical Incident,6/5/18,6/5/18,6/5/18 19:09,6/5/18 19:09,6/5/18 19:09,6/5/18 19:09,6/5/18 19:09,0:00,Non Life-threatening,ENGINE,Chinatown
181582444,18067074,Other,6/7/18,6/7/18,6/7/18 16:02,6/7/18 16:02,6/7/18 16:02,6/7/18 16:02,6/7/18 16:02,0:00,Alarm,ENGINE,Chinatown
181734311,18073547,Medical Incident,6/22/18,6/22/18,6/22/18 23:15,6/22/18 23:15,6/22/18 23:15,6/22/18 23:15,6/22/18 23:15,0:00,Potentially Life-Threatening,PRIVATE,Chinatown
181772781,18075330,Other,6/26/18,6/26/18,6/26/18 17:31,6/26/18 17:31,6/26/18 17:31,6/26/18 17:31,6/26/18 17:31,0:00,Alarm,TRUCK,Chinatown
181792832,18076112,Medical Incident,6/28/18,6/28/18,6/28/18 17:08,6/28/18 17:08,6/28/18 17:08,6/28/18 17:08,6/28/18 17:08,0:00,Non Life-threatening,PRIVATE,Chinatown
