Call Number,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Arrival_DtTm,Call Type Group,Unit Type,Neighborhooods
180040123,18001393,Medical Incident,1/4/18,1/3/18,1/4/18 1:19,1/4/18 1:19,1/4/18 1:19,1/4/18 1:19,1/4/18 1:19,0:00,Non Life-threatening,MEDIC,Lone Mountain/USF
180131263,18005584,Medical Incident,1/13/18,1/13/18,1/13/18 10:50,1/13/18 10:50,1/13/18 10:50,1/13/18 10:50,1/13/18 10:50,0:00,Non Life-threatening,ENGINE,Lone Mountain/USF
180330225,18013838,Medical Incident,2/2/18,2/1/18,2/2/18 1:56,2/2/18 1:56,2/2/18 1:56,2/2/18 1:56,2/2/18 1:56,0:00,Non Life-threatening,MEDIC,Lone Mountain/USF
180433253,18018553,Medical Incident,2/12/18,2/12/18,2/12/18 18:59,2/12/18 18:59,2/12/18 18:59,2/12/18 18:59,2/12/18 18:59,0:00,Non Life-threatening,MEDIC,Lone Mountain/USF
180550586,18023369,Traffic Collision,2/24/18,2/23/18,2/24/18 6:49,2/24/18 6:49,2/24/18 6:49,2/24/18 6:49,2/24/18 6:49,0:00,Potentially Life-Threatening,PRIVATE,Lone Mountain/USF
180691848,18029496,Other,3/10/18,3/10/18,3/10/18 13:35,3/10/18 13:35,3/10/18 13:35,3/10/18 13:35,3/10/18 13:35,0:00,Alarm,MEDIC,Lone Mountain/USF
180871776,18036985,Other,3/28/18,3/28/18,3/28/18 12:14,3/28/18 12:14,3/28/18 12:14,3/28/18 12:14,3/28/18 12:14,0:00,Alarm,CHIEF,Lone Mountain/USF
180932791,18039714,Medical Incident,4/3/18,4/3/18,4/3/18 16:59,4/3/18 16:59,4/3/18 16:59,4/3/18 16:59,4/3/18 16:59,0:00,Potentially Life-Threatening,ENGINE,Lone Mountain/USF
181132907,18048229,Medical Incident,4/23/18,4/23/18,4/23/18 17:08,4/23/18 17:08,4/23/18 17:08,4/23/18 17:08,4/23/18 17:08,0:00,Non Life-threatening,PRIVATE,Lone Mountain/USF
181162366,18049391,Citizen Assist / Service Call,4/26/18,4/26/18,4/26/18 15:07,4/26/18 15:07,4/26/18 15:07,4/26/18 15:07,4/26/18 15:07,0:00,Alarm,MEDIC,Lone Mountain/USF
181241417,18052610,Medical Incident,5/4/18,5/4/18,5/4/18 10:57,5/4/18 10:57,5/4/18 10:57,5/4/18 10:57,5/4/18 10:57,0:00,Non Life-threatening,PRIVATE,Lone Mountain/USF
181813185,18076964,Other,6/30/18,6/30/18,6/30/18 20:23,6/30/18 20:23,6/30/18 20:23,6/30/18 20:23,6/30/18 20:23,0:00,Alarm,ENGINE,Lone Mountain/USF
182021365,18085552,Other,7/21/18,7/21/18,7/21/18 11:04,7/21/18 11:04,7/21/18 11:04,7/21/18 11:04,7/21/18 11:04,0:00,Alarm,ENGINE,Lone Mountain/USF
182364169,18099617,Medical Incident,8/24/18,8/24/18,8/24/18 22:12,8/24/18 22:12,8/24/18 22:12,8/24/18 22:12,8/24/18 22:12,0:00,Non Life-threatening,MEDIC,Lone Mountain/USF
182402827,18101118,Medical Incident,8/28/18,8/28/18,8/28/18 16:42,8/28/18 16:42,8/28/18 16:42,8/28/18 16:42,8/28/18 16:42,0:00,Non Life-threatening,MEDIC,Lone Mountain/USF
182512497,18105521,Other,9/8/18,9/8/18,9/8/18 16:20,9/8/18 16:20,9/8/18 16:20,9/8/18 16:20,9/8/18 16:20,0:00,Non Life-threatening,MEDIC,Lone Mountain/USF
183072748,18128908,Medical Incident,11/3/18,11/3/18,11/3/18 16:50,11/3/18 16:50,11/3/18 16:50,11/3/18 16:50,11/3/18 16:50,0:00,Non Life-threatening,CHIEF,Lone Mountain/USF
183273574,18137538,Medical Incident,11/23/18,11/23/18,11/23/18 21:53,11/23/18 21:53,11/23/18 21:53,11/23/18 21:53,11/23/18 21:53,0:00,Non Life-threatening,MEDIC,Lone Mountain/USF
183640089,18152593,Other,12/30/18,12/29/18,12/30/18 0:38,12/30/18 0:38,12/30/18 0:38,12/30/18 0:38,12/30/18 0:38,0:00,Alarm,TRUCK,Lone Mountain/USF
