Call Number,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Arrival_DtTm,Call Type Group,Unit Type,Neighborhooods
180031951,18001141,Medical Incident,1/3/18,1/3/18,1/3/18 12:59,1/3/18 12:59,1/3/18 12:59,1/3/18 12:59,1/3/18 12:59,0:00,Non Life-threatening,MEDIC,Mission
180042826,18001647,Medical Incident,1/4/18,1/4/18,1/4/18 16:13,1/4/18 16:13,1/4/18 16:13,1/4/18 16:13,1/4/18 16:13,0:00,Non Life-threatening,ENGINE,Mission
180042870,18001652,Medical Incident,1/4/18,1/4/18,1/4/18 16:22,1/4/18 16:22,1/4/18 16:22,1/4/18 16:22,1/4/18 16:22,0:00,Non Life-threatening,MEDIC,Mission
180050409,18001892,Medical Incident,1/5/18,1/4/18,1/5/18 5:40,1/5/18 5:40,1/5/18 5:40,1/5/18 5:40,1/5/18 5:40,0:00,Potentially Life-Threatening,ENGINE,Mission
180061289,18002486,Other,1/6/18,1/6/18,1/6/18 11:01,1/6/18 11:01,1/6/18 11:01,1/6/18 11:01,1/6/18 11:01,0:00,Alarm,TRUCK,Mission
180061401,18002502,Medical Incident,1/6/18,1/6/18,1/6/18 11:36,1/6/18 11:36,1/6/18 11:36,1/6/18 11:36,1/6/18 11:36,0:00,Potentially Life-Threatening,ENGINE,Mission
180072606,18003080,Medical Incident,1/7/18,1/7/18,1/7/18 17:33,1/7/18 17:33,1/7/18 17:33,1/7/18 17:33,1/7/18 17:33,0:00,Potentially Life-Threatening,ENGINE,Mission
180123154,18005312,Medical Incident,1/12/18,1/12/18,1/12/18 18:01,1/12/18 18:01,1/12/18 18:01,1/12/18 18:01,1/12/18 18:01,0:00,Potentially Life-Threatening,ENGINE,Mission
180131390,18005597,Other,1/13/18,1/13/18,1/13/18 11:24,1/13/18 11:24,1/13/18 11:24,1/13/18 11:24,1/13/18 11:24,0:00,Alarm,TRUCK,Mission
180153229,18006621,Medical Incident,1/15/18,1/15/18,1/15/18 20:28,1/15/18 20:28,1/15/18 20:28,1/15/18 20:28,1/15/18 20:28,0:00,Non Life-threatening,MEDIC,Mission
180200581,18008387,Medical Incident,1/20/18,1/19/18,1/20/18 6:16,1/20/18 6:16,1/20/18 6:16,1/20/18 6:16,1/20/18 6:16,0:00,Non Life-threatening,MEDIC,Mission
180203036,18008648,Medical Incident,1/20/18,1/20/18,1/20/18 19:15,1/20/18 19:15,1/20/18 19:15,1/20/18 19:15,1/20/18 19:15,0:00,Non Life-threatening,MEDIC,Mission
180233735,18009886,Medical Incident,1/23/18,1/23/18,1/23/18 20:51,1/23/18 20:51,1/23/18 20:51,1/23/18 20:51,1/23/18 20:51,0:00,Non Life-threatening,MEDIC,Mission
180240166,18009957,Outside Fire,1/24/18,1/23/18,1/24/18 1:59,1/24/18 1:59,1/24/18 1:59,1/24/18 1:59,1/24/18 1:59,0:00,Fire,ENGINE,Mission
180251404,18010494,Other,1/25/18,1/25/18,1/25/18 10:36,1/25/18 10:36,1/25/18 10:36,1/25/18 10:36,1/25/18 10:36,0:00,Alarm,ENGINE,Mission
180253359,18010656,Medical Incident,1/25/18,1/25/18,1/25/18 18:34,1/25/18 18:34,1/25/18 18:34,1/25/18 18:34,1/25/18 18:34,0:00,Non Life-threatening,PRIVATE,Mission
