Call Number,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Arrival_DtTm,Call Type Group,Unit Type,Neighborhooods
180022040,18000705,Medical Incident,1/2/18,1/2/18,1/2/18 13:24,1/2/18 13:24,1/2/18 13:24,1/2/18 13:24,1/2/18 13:24,0:00,Non Life-threatening,ENGINE,Outer Richmond
180053457,18002229,Outside Fire,1/5/18,1/5/18,1/5/18 20:04,1/5/18 20:04,1/5/18 20:04,1/5/18 20:04,1/5/18 20:04,0:00,Fire,PRIVATE,Outer Richmond
180120986,18005113,Medical Incident,1/12/18,1/12/18,1/12/18 9:07,1/12/18 9:07,1/12/18 9:07,1/12/18 9:07,1/12/18 9:07,0:00,Non Life-threatening,ENGINE,Outer Richmond
180163864,18007068,Smoke Investigation (Outside),1/16/18,1/16/18,1/16/18 20:13,1/16/18 20:13,1/16/18 20:13,1/16/18 20:13,1/16/18 20:13,0:00,Alarm,ENGINE,Outer Richmond
180321106,18013474,Medical Incident,2/1/18,2/1/18,2/1/18 9:21,2/1/18 9:21,2/1/18 9:21,2/1/18 9:21,2/1/18 9:21,0:00,Non Life-threatening,ENGINE,Outer Richmond
180332194,18014041,Other,2/2/18,2/2/18,2/2/18 14:07,2/2/18 14:07,2/2/18 14:07,2/2/18 14:07,2/2/18 14:07,0:00,Alarm,ENGINE,Outer Richmond
180392535,18016820,Other,2/8/18,2/8/18,2/8/18 15:36,2/8/18 15:36,2/8/18 15:36,2/8/18 15:36,2/8/18 15:36,0:00,Alarm,SUPPORT,Outer Richmond
180392535,18016820,Other,2/8/18,2/8/18,2/8/18 15:36,2/8/18 15:36,2/8/18 15:36,2/8/18 15:36,2/8/18 15:36,0:00,Alarm,ENGINE,Outer Richmond
180473485,18020280,Citizen Assist / Service Call,2/16/18,2/16/18,2/16/18 19:46,2/16/18 19:46,2/16/18 19:46,2/16/18 19:46,2/16/18 19:46,0:00,Alarm,ENGINE,Outer Richmond
180490397,18020814,Traffic Collision,2/18/18,2/17/18,2/18/18 3:08,2/18/18 3:08,2/18/18 3:08,2/18/18 3:08,2/18/18 3:08,0:00,Non Life-threatening,ENGINE,Outer Richmond
180502550,18021472,Citizen Assist / Service Call,2/19/18,2/19/18,2/19/18 16:27,2/19/18 16:27,2/19/18 16:27,2/19/18 16:27,2/19/18 16:27,0:00,Alarm,ENGINE,Outer Richmond
180511394,18021773,Medical Incident,2/20/18,2/20/18,2/20/18 11:00,2/20/18 11:00,2/20/18 11:00,2/20/18 11:00,2/20/18 11:00,0:00,Non Life-threatening,ENGINE,Outer Richmond
180551724,18023488,Elevator / Escalator Rescue,2/24/18,2/24/18,2/24/18 13:12,2/24/18 13:12,2/24/18 13:12,2/24/18 13:12,2/24/18 13:12,0:00,Alarm,TRUCK,Outer Richmond
180631859,18026894,Other,3/4/18,3/4/18,3/4/18 13:54,3/4/18 13:54,3/4/18 13:54,3/4/18 13:54,3/4/18 13:54,0:00,Alarm,ENGINE,Outer Richmond
180642941,18027423,Medical Incident,3/5/18,3/5/18,3/5/18 17:24,3/5/18 17:24,3/5/18 17:24,3/5/18 17:24,3/5/18 17:24,0:00,Non Life-threatening,ENGINE,Outer Richmond
