Call Number,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Arrival_DtTm,Call Type Group,Unit Type,Neighborhooods
180012975,18000363,Elevator / Escalator Rescue,1/1/18,1/1/18,1/1/18 16:55,1/1/18 16:55,1/1/18 16:55,1/1/18 16:55,1/1/18 16:55,0:00,Alarm,ENGINE,Western Addition
180072255,18003032,Medical Incident,1/7/18,1/7/18,1/7/18 15:51,1/7/18 15:51,1/7/18 15:51,1/7/18 15:51,1/7/18 15:51,0:00,Non Life-threatening,MEDIC,Western Addition
180103704,18004488,Medical Incident,1/10/18,1/10/18,1/10/18 19:36,1/10/18 19:36,1/10/18 19:36,1/10/18 19:36,1/10/18 19:36,0:00,Non Life-threatening,CHIEF,Western Addition
180104479,18004570,Medical Incident,1/10/18,1/10/18,1/10/18 23:58,1/10/18 23:58,1/10/18 23:58,1/10/18 23:58,1/10/18 23:58,0:00,Non Life-threatening,MEDIC,Western Addition
180180595,18007577,Medical Incident,1/18/18,1/17/18,1/18/18 7:32,1/18/18 7:32,1/18/18 7:32,1/18/18 7:32,1/18/18 7:32,0:00,Potentially Life-Threatening,MEDIC,Western Addition
180210607,18008818,Other,1/21/18,1/20/18,1/21/18 7:13,1/21/18 7:13,1/21/18 7:13,1/21/18 7:13,1/21/18 7:13,0:00,Alarm,CHIEF,Western Addition
180403604,18017393,Odor (Strange / Unknown),2/9/18,2/9/18,2/9/18 19:51,2/9/18 19:51,2/9/18 19:51,2/9/18 19:51,2/9/18 19:51,0:00,Alarm,ENGINE,Western Addition
180500644,18021272,Traffic Collision,2/19/18,2/18/18,2/19/18 7:35,2/19/18 7:35,2/19/18 7:35,2/19/18 7:35,2/19/18 7:35,0:00,Non Life-threatening,ENGINE,Western Addition
180560059,18023723,Medical Incident,2/25/18,2/24/18,2/25/18 0:22,2/25/18 0:22,2/25/18 0:22,2/25/18 0:22,2/25/18 0:22,0:00,Non Life-threatening,MEDIC,Western Addition
180610224,18025887,Medical Incident,3/2/18,3/1/18,3/2/18 2:09,3/2/18 2:09,3/2/18 2:09,3/2/18 2:09,3/2/18 2:09,0:00,Potentially Life-Threatening,MEDIC,Western Addition
180654226,18027953,Traffic Collision,3/6/18,3/6/18,3/6/18 22:56,3/6/18 22:56,3/6/18 22:56,3/6/18 22:56,3/6/18 22:56,0:00,Potentially Life-Threatening,MEDIC,Western Addition
180681195,18028990,Medical Incident,3/9/18,3/9/18,3/9/18 9:55,3/9/18 9:55,3/9/18 9:55,3/9/18 9:55,3/9/18 9:55,0:00,Non Life-threatening,TRUCK,Western Addition
180761956,18032422,Traffic Collision,3/17/18,3/17/18,3/17/18 14:40,3/17/18 14:40,3/17/18 14:40,3/17/18 14:40,3/17/18 14:40,0:00,Non Life-threatening,MEDIC,Western Addition
180780501,18033096,Medical Incident,3/19/18,3/18/18,3/19/18 6:53,3/19/18 6:53,3/19/18 6:53,3/19/18 6:53,3/19/18 6:53,0:00,Non Life-threatening,MEDIC,Western Addition
180832305,18035411,Medical Incident,3/24/18,3/24/18,3/24/18 15:52,3/24/18 15:52,3/24/18 15:52,3/24/18 15:52,3/24/18 15:52,0:00,Non Life-threatening,TRUCK,Western Addition
181034189,18044053,Outside Fire,4/13/18,4/13/18,4/13/18 23:15,4/13/18 23:15,4/13/18 23:15,4/13/18 23:15,4/13/18 23:15,0:00,Fire,ENGINE,Western Addition
181064244,18045311,Medical Incident,4/16/18,4/16/18,4/16/18 23:59,4/16/18 23:59,4/16/18 23:59,4/16/18 23:59,4/16/18 23:59,0:00,Potentially Life-Threatening,MEDIC,Western Addition
181082215,18045923,Traffic Collision,4/18/18,4/18/18,4/18/18 13:46,4/18/18 13:46,4/18/18 13:46,4/18/18 13:46,4/18/18 13:46,0:00,Non Life-threatening,ENGINE,Western Addition
181122810,18047813,Medical Incident,4/22/18,4/22/18,4/22/18 17:19,4/22/18 17:19,4/22/18 17:19,4/22/18 17:19,4/22/18 17:19,0:00,Potentially Life-Threatening,TRUCK,Western Addition
181181629,18050137,Medical Incident,4/28/18,4/28/18,4/28/18 11:58,4/28/18 11:58,4/28/18 11:58,4/28/18 11:58,4/28/18 11:58,0:00,Potentially Life-Threatening,TRUCK,Western Addition
181210182,18051180,Other,5/1/18,4/30/18,5/1/18 2:28,5/1/18 2:28,5/1/18 2:28,5/1/18 2:28,5/1/18 2:28,0:00,Alarm,SUPPORT,Western Addition
181382568,18058506,Medical Incident,5/18/18,5/18/18,5/18/18 15:35,5/18/18 15:35,5/18/18 15:35,5/18/18 15:35,5/18/18 15:35,0:00,Non Life-threatening,MEDIC,Western Addition
181500963,18063399,Medical Incident,5/30/18,5/30/18,5/30/18 9:17,5/30/18 9:17,5/30/18 9:17,5/30/18 9:17,5/30/18 9:17,0:00,Non Life-threatening,RESCUE CAPTAIN,Western Addition
